feature,importance
NUP54,0.0041561527490084
PNPO,0.003325991228456991
TMCO6,0.0033257308191936385
TMOD3,0.003325424168035539
PI4KA,0.0025242419074922003
CYBC1,0.0025034528961215847
CBFA2T2,0.0024983168423784795
JADE1,0.002496647413254372
RDX,0.002496199252874851
ZFYVE9,0.0024958691032043656
RABGGTA,0.0024951671906327986
RAB11FIP2,0.002495086843774894
TXNL4B,0.0024949503120922445
NECAP1,0.0024947636693427935
SPICE1,0.002494757293865866
ETFBKMT,0.0024946366355045654
DHODH,0.002494607422696042
ZNF765,0.0024946044210273403
INTS11,0.0024945990693204844
TBCCD1,0.0024945166003795156
HDAC7,0.0024944682136739745
MECP2,0.002494372922819325
ULK3,0.0024943490113283136
STK4,0.002494264121359802
KRBOX4,0.002494255971777887
ATXN3,0.0024942552054890354
MYO9B,0.0024942022860969327
RC3H2,0.0024941989354878573
TMEM218,0.0024941917173157122
MARK2,0.002494189081203402
U91328.1,0.0024941821870458104
ZNF584,0.0024941607926983276
BLOC1S5,0.0024941498160451713
USP25,0.00249412936823443
UBE3A,0.002494089096454895
CHD9,0.0024940716510617952
TTC31,0.002494020452781607
LPIN1,0.00249401923275542
TOM1,0.002493948144164661
TCF4,0.002493941699485052
HPS1,0.002493849284476677
TMEM161B,0.002493766653388588
ZNF197,0.0024937488789000995
IREB2,0.002493695985376951
HERC4,0.002493668857394817
IKZF4,0.0024934475356271028
MSH3,0.002493434690660609
PGS1,0.0018607220143771264
TXNRD2,0.0017191749839098895
CFLAR,0.0016769953406303162
