feature,importance
CGNL1,0.042017085232991906
KL,0.041314147056934446
MLLT11,0.03407843305304028
CCK,0.02857791437471731
AC134043.1,0.02794303241503961
AL136164.3,0.027191873247801056
MTURN,0.02191998710952252
TSPYL4,0.021088163619231114
SNAP25,0.021011242201259
SOSTDC1,0.017298075054657375
MAL,0.017177047738666178
CABP1,0.016764108159302907
GOT1,0.016749314924827664
CRIM1-DT,0.01671205891920071
B4GAT1,0.016539495045944798
TPPP,0.016032574117243993
PINK1,0.015865494236326855
AL136982.4,0.015796334123076315
PTH1R,0.015435871787633882
CLCNKB,0.015379415500574365
RNF152,0.015180292716513093
COX5BP8,0.014997123693852159
SYN2,0.014982872671073304
AL132656.1,0.014426012243303733
NAP1L2,0.01388356432632038
NRGN,0.01373459962874121
TSPYL1,0.013158128811743044
NUDT3,0.013019677451765911
AC005753.2,0.012983468277213486
METTL7A,0.012863245345203818
CYS1,0.012143134347952863
NAP1L5,0.011727901725408192
SH3GL2,0.011682181545019236
SLC22A25,0.011256010183678085
LINC00622,0.010952321276776209
RPS27P16,0.010875032321645944
KHDRBS2-OT1,0.010757121104819682
RPL5P14,0.010723804255728558
RNU6-118P,0.01019263088062228
LINC01779,0.00987657128943117
AL160391.1,0.009676061614301285
GNG3,0.009438962913507492
AC010376.1,0.009404481674870097
AL049838.1,0.009192814210428515
AC113189.9,0.009094579944658883
AC114300.1,0.008942556382073188
GAPDHP33,0.00889323390714619
KCNJ9,0.008604449274061938
AC109479.2,0.008344692924462244
AC104984.5,0.008223593201197804
