feature,importance
GAPDH,0.21116666464842848
TPI1,0.07670712582222734
PPFIA4,0.03977069107212903
NCOA7,0.03411339417635302
LINC01506,0.031566206051322036
CXCR1,0.020126997614960052
EFNA3,0.020115735666176394
AC006064.3,0.010440715961283835
MCEMP1,0.009792625396671925
NPNT,0.008188306536197062
CSNK1A1L,0.007894974311910483
ADGRE3,0.007138378118287538
ALDOA,0.006995561144666967
MT3,0.006970992831043572
RPS6KA1,0.005803425645617652
FPR2,0.005648760341499833
AC099489.1,0.005103871462478561
YBX3,0.004692658873801808
ACOXL,0.004589728290493675
ENO2,0.00457180179342426
ANKFY1,0.004398839831374788
AC008763.3,0.004150526773673475
HSF4,0.003961798010964567
SLC19A1,0.00386617062757589
MLIP,0.003668599622817337
DCDC2,0.003640393235915458
PFKP,0.0031214102736660822
WWC2,0.003035091570058631
NOL3,0.00276706257974008
GK,0.002628955172461107
SLC2A5,0.0025069733309140687
DNAAF4,0.002463117044737562
CCDC28A,0.0023237349059014624
ST6GALNAC3,0.002317908338460292
NKAIN1,0.0023095710384173213
AC083843.3,0.00228662912077372
RMDN3,0.0021976352440049606
EME1,0.0021678936525362253
APOBEC4,0.002142217407198943
GOLGA8B,0.0021147409183095312
AL359378.1,0.002086674642822597
DNAI1,0.0020476036176581545
TTC29,0.001994468025151299
RHNO1,0.0019475427896467092
DNALI1,0.0019247690311010514
ANKS1A,0.00191265502524199
IRX2,0.0019056193862024785
COTL1,0.0019004474858334954
CARD14,0.0017890056782891642
CARMIL1,0.0017886499152796156
