feature,importance
KRAS,0.10418132907851596
NEBL,0.03976004301331351
NDRG2,0.029692569865439427
PRDX4,0.020906243069174883
TOM1L2,0.013080403799643911
CLIC1,0.01224695428722479
LMO7,0.010552830388633791
TINCR,0.007993309770897286
GPRC5D,0.007643832581128667
AC092794.1,0.00707700787638375
TIMP1,0.006885230169213559
H2BC1,0.0064157063483594986
CTIF,0.006398458495970454
SOX13,0.0058575425300889696
PTP4A3,0.005278318734655926
C2CD5,0.004990267311138047
SLC4A1,0.004692173544857726
IL4I1,0.00465014201104514
AC027277.2,0.004645796504924015
CTDSPL,0.004577632262204781
AC063960.2,0.004348276810994595
PPM1L,0.004345512761260466
SYN2,0.004322041933450008
GABPB2,0.004261799198095591
MED21,0.004232995802653668
LINC00507,0.0042159169835381365
OTUD7B,0.004123831033206659
CNNM2,0.004034804320497177
THRB,0.003597156110360614
SLC25A27,0.0035665392158120922
ADD3,0.0035521734843284476
ADRB1,0.0034144949982060557
AC005753.3,0.003393177624372291
THRB-IT1,0.0032646507824542854
GABARAPL1,0.003211732990045917
TSPAN9,0.003153188374393121
SLIT2,0.0030824189073400234
GTF3C6,0.0029921434133549562
GAPT,0.0029871243377936423
FAM124A,0.0029518913523857927
ALS2CL,0.002922274058561506
CKS1B,0.002886957792371154
C1orf198,0.0028837442503868178
BAIAP2,0.0028652655159340707
KLHL2,0.002854113816849207
ASAP2,0.002853096687562615
AC023790.2,0.002808015667757444
HEBP1,0.0027710894330822268
AC010719.1,0.002751780381905889
PIK3CD-AS2,0.0027290480751444345
