feature,importance
TP53,0.3600699628146773
POLQ,0.06561521130345896
RNASEH2A,0.038012776327702925
MTBP,0.035686305971021945
SEMA3F-AS1,0.01982766055120063
RFC4,0.018643978473655724
CENPQ,0.016235888827905186
RBM5,0.01512640473470104
PRIM2,0.013046824521119403
CKS1B,0.01206957779806642
MTURN,0.011269396332989528
USP28,0.011010209044503077
ADGRB3,0.009873521940011476
HOXA13,0.008732665850361688
MALSU1,0.008071391805955059
PSMG3,0.007994529487051975
LMAN2L,0.007753513944598605
EXO1,0.006691899329041259
GABRQ,0.006378820656904583
FLAD1,0.006337206314851397
AL022100.1,0.006142295030267393
DTYMK,0.005390267801638552
ANGPTL1,0.005330343415894419
GPRASP1,0.005004539076707459
INCENP,0.004916160166798602
FGF11,0.003461271551820816
ATAD2,0.00337556102312498
DCAF13,0.003331685620141774
COL11A1,0.0030672197963702713
ECT2,0.0030209653728004407
TPST1,0.0028600739847378736
XPO5,0.002809420435587321
MCM2,0.0027151125080919253
RPP40,0.002711067942391228
CYP27C1,0.002665796647863789
PSPH,0.0026564249151227472
DHX9,0.0026089944220723917
CKS2,0.0026075449721569078
CHEK1,0.002468040748263728
UBE2C,0.002403180425715123
ACTL6A,0.0022517122640426895
MCM8,0.0022491354632825427
AC025538.1,0.0021535957415816545
POP7,0.0021213395972204075
PLCL2,0.002115915855993069
CRY2,0.0020055863102532135
KIAA1109,0.001990804141051116
MASTL,0.0019892242904259055
AL109615.3,0.0019753862005878896
MAGI1,0.001971568955085515
