feature,importance
KRAS,0.08383033123291023
ETFRF1,0.06726103289867955
NEBL,0.040151730117070406
NDRG2,0.0345851912035214
PRDX4,0.026352423504819474
LMO7,0.023883330178484985
COX5BP8,0.018623304158068604
TOM1L2,0.018473996115959852
TINCR,0.01755541825175147
THRB-IT1,0.016784185515488312
SOX13,0.01667591751152749
MED21,0.015604982301210584
VIPR1,0.015203252856486856
HEBP1,0.01319304374495594
ZC3H12B,0.013126085485075876
CTIF,0.012821902266949311
LINC02371,0.012015835914516949
SYN2,0.012013646117579043
GABPB2,0.01166270758030625
SLIT2,0.011236164737695334
CNNM2,0.011143180706736314
AC087257.1,0.01083504653373488
CTDSPL,0.010560893102050783
GABARAPL1,0.010230605299572515
CAMK2N1,0.010037967213098223
C2CD5,0.009993851023229883
FAM20B,0.009731958871295434
IL4I1,0.009380651886551121
TEX11,0.00902011595012387
AC092794.1,0.008906079852155422
DCUN1D2,0.008864149844808168
CHRNA6,0.008821280944394189
PITPNM3,0.008751590260358088
THRB,0.008750509273417917
KAZN,0.007994374012477797
CASKIN2,0.007857575014102563
LINC00970,0.007812146748835263
UBD,0.007736450145343496
PCYOX1,0.007569992433792415
FAM124A,0.00750777752757176
N4BP3,0.007488258668252989
BCL2L2,0.00745236056400968
PRKCZ,0.00740761806004956
ETV7,0.007351830656403808
ALS2CL,0.007344691964223841
FGFR1OP2,0.007288873280828101
SNRNP35,0.007137832104853636
C1orf115,0.006908698846828096
LYSMD4,0.006908518710843634
CHRM1,0.006822750531557325
