feature,importance
AC092794.1,0.11073039056296502
KL,0.03622108735410531
CGNL1,0.035315972978686376
MLLT11,0.03216267752068431
SNRPN,0.019908289155519843
AL136164.3,0.017702466055921084
COX5BP8,0.016747435970442467
MTURN,0.016666904597883985
GOT1,0.011944041858812553
SLC13A3,0.011726465987247145
AC134043.1,0.011060952669287276
KCNJ1,0.01058754401040644
SYP,0.010390978596341655
TFCP2L1,0.009930577029780898
TPPP,0.009775075398161541
CCK,0.009738947435966561
CRIM1-DT,0.009644158022970098
RANBP3L,0.009471871590182809
AL136982.4,0.009454287551711566
RNU6-118P,0.00920786393489091
TSPYL4,0.008934185278827445
B4GAT1,0.008822341692953525
EHD3,0.008687436063502673
NRGN,0.008678330025161734
PINK1,0.008615463526492468
AC091492.1,0.008200093281952368
ZNF204P,0.008195025735414056
NXF3,0.008057095946496961
AC005753.1,0.00797253432264063
AQP2,0.007883597941097232
SNAP25,0.007716880158145697
SYN2,0.007662294319627113
PTH1R,0.007426724275819581
TSPYL1,0.007329814850610061
CABP1,0.007297279363137731
MAL,0.007213585147663559
SLC4A1,0.007197342340706969
CLCNKB,0.007066371478353808
CYS1,0.007052604771006361
SLC12A1,0.006776238819234821
RNF152,0.006749208780165061
FAIM2,0.006696412366147425
XPNPEP2,0.006562833598261483
SUSD2,0.006500830850461784
FAM107A,0.006498034633445956
NAP1L3,0.006337137908163573
AL132656.1,0.006303727434648856
ECRG4,0.0061844166471845975
AC079791.1,0.0061612659624467915
METTL7A,0.006071642418900174
