feature,importance
KRAS,0.12296428680622448
NEBL,0.04779161355589695
NDRG2,0.039107867480247395
AC092794.1,0.034220159175035694
PRDX4,0.03360725512047793
LINC00507,0.027666163788433843
LMO7,0.026877828074894115
CLIC1,0.0244851866324951
TOM1L2,0.024475729912977338
BAIAP2,0.022110829971380978
TINCR,0.021634771745527772
GAPT,0.02160635353929645
CTIF,0.021102258058200166
SOX13,0.020245023732255573
AC063960.2,0.01981645900655519
THRB,0.019777624255756857
H2BC1,0.018470446887626477
GPRC5D,0.018418485286500606
MED21,0.017221484324815843
THRB-IT1,0.016806594521740967
SYN2,0.016796065202896757
IL4I1,0.016192521856356466
GTF3C6,0.01608156563402632
C1orf198,0.0159364666710048
CKS1B,0.015560074017554267
CNNM2,0.015125493608298618
AC005753.3,0.014744077832965292
PTP4A3,0.014674775550006538
ADD3,0.014625848088285896
GABPB2,0.014305773345429358
PPM1L,0.014102784126466412
SLC25A27,0.013972125732264438
CTDSPL,0.013921536131875287
TIMP1,0.013883955822460606
KLHL2,0.013847140785645671
OTUD7B,0.013644483927482541
AC027277.2,0.013235259074298716
PIK3CD-AS2,0.01277521625133314
ADRB1,0.01236124690189104
SLIT2,0.012238465804543438
AC023790.2,0.012173199644279762
ALS2CL,0.012123064291579985
AC010719.1,0.012039931603499981
C2CD5,0.011978501392494652
ASAP2,0.011942331827060686
TSPAN9,0.01129225849656225
SLC4A1,0.0110684705076229
HEBP1,0.0109237519393429
GABARAPL1,0.010568327488542058
FAM124A,0.00945886456758952
