feature,importance
BBX,0.06000398637501647
PKNOX1,0.05914940024973444
PMS1,0.05416766362734977
ASCC1,0.05415691822564829
REST,0.05333395768675552
RAD17,0.053322631975688345
PTK2,0.05249239612100278
SMARCAL1,0.05165791413941421
TBC1D5,0.050014733374202376
ITSN1,0.050007391386674045
ATF2,0.049998360355553204
MSL3,0.049169439706949265
IFT80,0.049167309259582036
STRADA,0.049166612685747416
ARMC8,0.04834501780932823
AGK,0.048332830889817914
ASXL1,0.046664733365512606
C14orf93,0.04500410583193283
RBPJ,0.040005690979333076
C2orf42,0.035838905954757076
