feature,importance
ATF2,0.06866318438612168
ARMC8,0.05867330180607216
ASB3,0.05506185555841472
ASXL1,0.054961344270401724
PTK2,0.05495331074745184
STRADA,0.05374748925196812
TBC1D5,0.05370319177972986
MSL3,0.05370211487553554
RBPJ,0.05368021081742452
MLLT10,0.05247221608079029
NFATC3,0.05151466464986782
MECP2,0.05126369854263526
LINC00963,0.05122627966849796
SLC9A6,0.04997562686065598
AGK,0.04746178870008022
GGA3,0.04011651347268702
RBM23,0.040033758683107684
ABI2,0.03999377586802785
KANSL3,0.03630163034922731
GOSR2,0.032494043631302504
