protein_raw,selection_mode,cv_mean_r2,cv_std_r2,cv_min_r2,cv_max_r2,cv_mean_features,cv_std_features,fold_r2,fold_rmse,fold_mae,fold_selected_features,fold_alpha,fold_l1_ratio,cv_r2_fold_1,cv_rmse_fold_1,cv_mae_fold_1,cv_features_fold_1,cv_r2_fold_2,cv_rmse_fold_2,cv_mae_fold_2,cv_features_fold_2,cv_r2_fold_3,cv_rmse_fold_3,cv_mae_fold_3,cv_features_fold_3,cv_r2_fold_4,cv_rmse_fold_4,cv_mae_fold_4,cv_features_fold_4,cv_r2_fold_5,cv_rmse_fold_5,cv_mae_fold_5,cv_features_fold_5,protein_label,baseline_r2,permuted_r2,source_file
"('A1BG', 'ENSG00000121410.12')",variance_filter,0.5122,0.0539,0.4418,,208.0,53.6,"[0.5168, 0.4764, 0.6024, 0.5236, 0.4418]","[0.7167, 0.7011, 0.5655, 0.6204, 0.7049]","[0.5481, 0.5291, 0.4372, 0.4971, 0.5169]","[278, 166, 268, 179, 151]","[0.4175, 0.621, 0.4175, 0.621, 0.2807]","[0.1, 0.1, 0.1, 0.1, 0.2]",0.5168,0.7167,0.5481,278,0.4764,0.7011,0.5291,166,0.6024,0.5655,0.4372,268,0.5236,0.6204,0.4971,179,0.4418,0.7049,0.5169,151,"A1BG
ENSG00000121410.12",,,step_3_results.txt
"('A2M', 'ENSG00000175899.15')",variance_filter,0.4833,0.0443,0.4018,,194.0,67.6,"[0.5168, 0.4884, 0.5284, 0.481, 0.4018]","[0.7095, 0.6754, 0.6282, 0.6886, 0.7345]","[0.5671, 0.5222, 0.4926, 0.5331, 0.5501]","[282, 152, 266, 111, 158]","[0.4175, 0.2807, 0.4175, 0.0853, 0.621]","[0.1, 0.2, 0.1, 0.7000000000000001, 0.1]",0.5168,0.7095,0.5671,282,0.4884,0.6754,0.5222,152,0.5284,0.6282,0.4926,266,0.481,0.6886,0.5331,111,0.4018,0.7345,0.5501,158,"A2M
ENSG00000175899.15",,,step_3_results.txt
"('AAAS', 'ENSG00000094914.14')",variance_filter,0.3101,0.036,0.2593,,149.0,98.8,"[0.2593, 0.3478, 0.2836, 0.3074, 0.3521]","[0.9318, 0.8194, 0.8632, 0.7492, 0.7484]","[0.6889, 0.5861, 0.5986, 0.5651, 0.583]","[83, 102, 313, 208, 40]","[0.4175, 0.9237, 0.4175, 0.621, 0.1269]","[0.2, 0.1, 0.1, 0.1, 0.8]",0.2593,0.9318,0.6889,83,0.3478,0.8194,0.5861,102,0.2836,0.8632,0.5986,313,0.3074,0.7492,0.5651,208,0.3521,0.7484,0.583,40,"AAAS
ENSG00000094914.14",,,step_3_results.txt
"('A1BG', 'ENSG00000121410.12')",no_pre_filter,-14727.7053,10328.2663,-28350.8359,,237.0,87.3,"[-28350.8359, -3671.0886, -25909.8184, -6124.9624, -9581.8213]","[173.6181, 58.7157, 144.3446, 70.3493, 92.3524]","[37.1889, 14.5876, 43.2691, 10.5738, 24.069]","[233, 216, 257, 102, 375]","[0.621, 0.2807, 0.621, 0.0853, 0.4175]","[0.1, 0.2, 0.1, 0.9, 0.1]",-28350.8359,173.6181,37.1889,233,-3671.0886,58.7157,14.5876,216,-25909.8184,144.3446,43.2691,257,-6124.9624,70.3493,10.5738,102,-9581.8213,92.3524,24.069,375,"A1BG
ENSG00000121410.12",,,step_3_results.txt
"('A2M', 'ENSG00000175899.15')",no_pre_filter,-16619.2809,18062.9508,-50998.1562,,173.0,127.2,"[-9177.9766, -5775.7222, -50998.1562, -17144.8906, 0.3412]","[97.7842, 71.7673, 206.5791, 125.1569, 0.7708]","[18.7632, 17.2805, 61.7864, 21.0089, 0.5156]","[73, 119, 404, 211, 58]","[0.0853, 0.1887, 0.4175, 0.2807, 0.1887]","[0.9, 0.4, 0.1, 0.2, 0.5]",-9177.9766,97.7842,18.7632,73,-5775.7222,71.7673,17.2805,119,-50998.1562,206.5791,61.7864,404,-17144.8906,125.1569,21.0089,211,0.3412,0.7708,0.5156,58,"A2M
ENSG00000175899.15",,,step_3_results.txt
"('AAAS', 'ENSG00000094914.14')",no_pre_filter,-96.7044,194.0245,-484.7534,,162.0,84.3,"[-484.7534, 0.4879, 0.2731, 0.3627, 0.1077]","[23.8619, 0.7261, 0.8695, 0.7187, 0.8783]","[3.777, 0.5272, 0.5895, 0.5338, 0.5888]","[307, 60, 196, 121, 127]","[0.621, 0.1269, 0.0853, 0.0853, 0.0853]","[0.1, 0.9, 0.7000000000000001, 0.9, 0.9]",-484.7534,23.8619,3.777,307,0.4879,0.7261,0.5272,60,0.2731,0.8695,0.5895,196,0.3627,0.7187,0.5338,121,0.1077,0.8783,0.5888,127,"AAAS
ENSG00000094914.14",,,step_3_results.txt
"('TP53', 'ENSG00000141510.17')",user-selected proteins,0.1172,0.0408,0.0722,,104.0,21.5,"[0.0722, 0.1091, 0.1655, 0.0757, 0.1636]","[0.8343, 0.8893, 0.9582, 1.0689, 0.9857]","[0.6489, 0.6609, 0.6929, 0.8257, 0.7687]","[99, 129, 101, 123, 68]","[0.4175, 0.9237, 0.9237, 0.9237, 0.1887]","[0.2, 0.1, 0.1, 0.1, 0.5]",0.0722,0.8343,0.6489,99,0.1091,0.8893,0.6609,129,0.1655,0.9582,0.6929,101,0.0757,1.0689,0.8257,123,0.1636,0.9857,0.7687,68,"TP53
ENSG00000141510.17",,,step_3_results_chosen_proteins.txt
"('KRAS', 'ENSG00000133703.13')",user-selected proteins,0.1435,0.045,0.0668,,212.0,56.5,"[0.1872, 0.0668, 0.1224, 0.156, 0.1852]","[0.8241, 1.077, 0.7921, 0.9117, 0.919]","[0.591, 0.6276, 0.6002, 0.6475, 0.6287]","[189, 194, 188, 165, 323]","[0.621, 0.621, 0.621, 0.621, 0.4175]","[0.1, 0.1, 0.1, 0.1, 0.1]",0.1872,0.8241,0.591,189,0.0668,1.077,0.6276,194,0.1224,0.7921,0.6002,188,0.156,0.9117,0.6475,165,0.1852,0.919,0.6287,323,"KRAS
ENSG00000133703.13",,,step_3_results_chosen_proteins.txt
"('PIK3CA', 'ENSG00000121879.5')",user-selected proteins,0.262,0.0578,0.1686,,242.0,104.1,"[0.2705, 0.2971, 0.2345, 0.1686, 0.3391]","[0.9432, 0.8469, 0.8734, 0.8521, 0.7856]","[0.7001, 0.6304, 0.6112, 0.6719, 0.6226]","[196, 212, 371, 86, 343]","[0.2807, 0.621, 0.4175, 0.0853, 0.4175]","[0.2, 0.1, 0.1, 0.9, 0.1]",0.2705,0.9432,0.7001,196,0.2971,0.8469,0.6304,212,0.2345,0.8734,0.6112,371,0.1686,0.8521,0.6719,86,0.3391,0.7856,0.6226,343,"PIK3CA
ENSG00000121879.5",,,step_3_results_chosen_proteins.txt
"('BRAF', 'ENSG00000157764.13')",user-selected proteins,0.0477,0.0204,0.0143,,140.0,89.6,"[0.0771, 0.0411, 0.0531, 0.0528, 0.0143]","[0.8312, 0.9302, 1.0333, 0.9688, 1.0282]","[0.645, 0.6904, 0.7575, 0.7311, 0.7912]","[232, 198, 53, 204, 11]","[0.621, 0.621, 0.1269, 0.621, 1.3738]","[0.1, 0.1, 0.7000000000000001, 0.1, 0.1]",0.0771,0.8312,0.645,232,0.0411,0.9302,0.6904,198,0.0531,1.0333,0.7575,53,0.0528,0.9688,0.7311,204,0.0143,1.0282,0.7912,11,"BRAF
ENSG00000157764.13",,,step_3_results_chosen_proteins.txt
